user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
WM16_S11_MAGScoT_cleanbin_000017	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__2-12-FULL-35-15;f__2-12-FULL-35-15;g__2-12-FULL-35-15;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__2-12-FULL-35-15;f__2-12-FULL-35-15;g__2-12-FULL-35-15;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	94.68	11	0.96478	N/A
WM16_S11_MAGScoT_cleanbin_000018	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__	N/A	N/A	N/A	N/A	N/A	GCA_945903635.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__Reyranella sp945903635	91.2	0.574	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_947474005.1, s__Reyranella sp947474005, 95.0, 93.44, 0.728; GCA_030679805.1, s__Reyranella sp030679805, 95.0, 89.61, 0.479; GCA_029946105.1, s__Reyranella sp029946105, 95.0, 89.04, 0.52; GCA_030681635.1, s__Reyranella sp030681635, 95.0, 88.33, 0.309; GCA_945860205.1, s__Reyranella massiliensis_B, 95.0, 87.58, 0.402; GCF_004296935.1, s__Reyranella sp004296935, 95.0, 87.13, 0.383; GCA_010032545.1, s__Reyranella sp010032545, 95.0, 87.02, 0.349; GCA_945862125.1, s__Reyranella massiliensis_A, 95.0, 86.81, 0.366; GCA_016191685.1, s__Reyranella sp016191685, 95.0, 86.66, 0.32; GCA_001767945.1, s__Reyranella sp001767945, 95.0, 86.15, 0.318; GCA_030684475.1, s__Reyranella sp030684475, 95.0, 85.95, 0.262; GCA_004296815.1, s__Reyranella sp004296815, 95.0, 85.44, 0.186; GCA_019745575.1, s__Reyranella sp019745575, 95.0, 85.11, 0.238; GCA_937919085.1, s__Reyranella sp937919085, 95.0, 84.61, 0.206; GCA_937915145.1, s__Reyranella sp937915145, 95.0, 84.09, 0.199; GCA_947466085.1, s__Reyranella sp947466085, 95.0, 83.51, 0.154; GCF_020880995.1, s__Reyranella aquatilis, 95.0, 82.92, 0.161; GCA_945952105.1, s__Reyranella sp945952105, 95.0, 82.87, 0.161; GCF_019039055.1, s__Reyranella sp019039055, 95.0, 82.76, 0.163	93.72	11	0.99152	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
WM16_S11_MAGScoT_cleanbin_000019	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__	N/A	N/A	N/A	N/A	N/A	GCA_963205005.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__Phenylobacterium sp963205005	90.02	0.579	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	91.32	11	0.99634	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
WM16_S11_MAGScoT_cleanbin_000020	d__Bacteria;p__Bdellovibrionota;c__UBA1018;o__CAIPTA01;f__CAIPTA01;g__JAKFYM01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bdellovibrionota;c__UBA1018;o__CAIPTA01;f__CAIPTA01;g__JAKFYM01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	87.49	11	0.88159	N/A
WM16_S11_MAGScoT_cleanbin_000021	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__Sediminibacterium sp017996795	GCA_017996795.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__Sediminibacterium sp017996795	95.84	0.776	GCA_017996795.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__Sediminibacterium sp017996795	95.84	0.776	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_001829005.1, s__Sediminibacterium sp001829005, 95.0, 90.18, 0.685; GCA_002281875.1, s__Sediminibacterium sp002281875, 95.0, 90.18, 0.666; GCF_030695065.1, s__Sediminibacterium sp030695065, 95.0, 87.96, 0.555; GCA_002281575.1, s__Sediminibacterium sp002281575, 95.0, 87.57, 0.51; GCA_002786355.1, s__Sediminibacterium sp002786355, 95.0, 85.02, 0.299	91.3	11	N/A	N/A
WM16_S11_MAGScoT_cleanbin_000022	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	89.33	11	0.9269	N/A
WM16_S11_MAGScoT_cleanbin_000023	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__UBA1565;f__UBA9628;g__GWA2-66-18;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__UBA1565;f__UBA9628;g__GWA2-66-18;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_016191335.1, s__GWA2-66-18 sp016191335, 95.0, 83.6, 0.182; GCA_016182905.1, s__GWA2-66-18 sp016182905, 95.0, 82.8, 0.152	87.79	11	0.97829	N/A
WM16_S11_MAGScoT_cleanbin_000024	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Rhodoglobus;s__Rhodoglobus sp903920435	GCA_903920435.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Rhodoglobus;s__Rhodoglobus sp903920435	98.23	0.875	GCA_903920435.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Rhodoglobus;s__Rhodoglobus sp903920435	98.23	0.875	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Rhodoglobus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_001725325.1, s__Rhodoglobus sp001725325, 95.0, 86.85, 0.37; GCA_025463515.1, s__Rhodoglobus sp025463515, 95.0, 85.64, 0.264	87.47	11	N/A	N/A
WM16_S11_MAGScoT_cleanbin_000025	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Afipia;s__Afipia broomeae	GCF_000314675.2	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Afipia;s__Afipia broomeae	97.97	0.911	GCF_000314675.2	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Afipia;s__Afipia broomeae	97.97	0.911	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Afipia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000497575.1, s__Afipia sp000497575, 95.0, 90.66, 0.608; GCA_017474385.1, s__Afipia sp017474385, 95.0, 89.93, 0.443; GCF_014203115.1, s__Afipia massiliensis, 95.0, 86.05, 0.255; GCF_000308295.2, s__Afipia birgiae, 95.0, 85.94, 0.268; GCF_000336555.1, s__Afipia clevelandensis, 95.0, 85.93, 0.215; GCF_001006325.2, s__Afipia massiliensis_A, 95.0, 85.68, 0.278; GCA_030652315.1, s__Afipia sp030652315, 95.0, 85.55, 0.244; GCA_024508675.1, s__Afipia sp024508675, 95.0, 84.83, 0.21; GCA_024707075.1, s__Afipia sp024707075, 95.0, 84.62, 0.176; GCA_017308595.1, s__Afipia sp017308595, 95.0, 84.53, 0.163; GCF_021502575.1, s__Afipia sp021502575, 95.0, 84.27, 0.174	82.52	11	N/A	N/A
WM16_S11_MAGScoT_cleanbin_000026	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__	N/A	N/A	N/A	N/A	N/A	GCA_902826195.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp902826195	93.76	0.615	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_030413175.1, s__Bradyrhizobium sp030413175, 95.0, 90.29, 0.59; GCF_018130385.1, s__Bradyrhizobium sp018130385, 95.0, 86.99, 0.362; GCF_023101085.1, s__Bradyrhizobium sp023101085, 95.0, 86.82, 0.345; GCF_018596315.1, s__Bradyrhizobium sp018596315, 95.0, 86.78, 0.337; GCF_003062295.1, s__Bradyrhizobium algeriense, 95.0, 86.53, 0.335; GCA_013822885.1, s__Bradyrhizobium sp013822885, 95.0, 86.39, 0.177; GCF_023073415.1, s__Bradyrhizobium sp023073415, 95.0, 86.37, 0.325; GCF_023100945.1, s__Bradyrhizobium sp023100945, 95.0, 86.29, 0.319; GCA_029946075.1, s__Bradyrhizobium sp029946075, 95.0, 86.11, 0.157; GCF_001440475.1, s__Bradyrhizobium lablabi, 95.0, 85.94, 0.288; GCF_009930815.1, s__Bradyrhizobium sp009930815, 95.0, 85.79, 0.269; GCF_001693515.2, s__Bradyrhizobium paxllaeri, 95.0, 85.75, 0.284; GCF_001440395.1, s__Bradyrhizobium jicamae, 95.0, 85.73, 0.28; GCF_029051645.1, s__Bradyrhizobium sp029051645, 95.0, 85.63, 0.264; GCF_001440405.1, s__Bradyrhizobium valentinum, 95.0, 85.62, 0.253; GCF_001693485.1, s__Bradyrhizobium sp001693485, 95.0, 85.37, 0.251; GCF_001440415.1, s__Bradyrhizobium retamae, 95.0, 85.24, 0.235; GCA_023387735.1, s__Bradyrhizobium sp023387735, 95.0, 85.21, 0.262; GCF_029714305.1, s__Bradyrhizobium sp029714305, 95.0, 85.21, 0.254; GCF_018398875.1, s__Bradyrhizobium sp018398875, 95.0, 85.17, 0.23; GCF_001693385.1, s__Bradyrhizobium icense, 95.0, 85.14, 0.246; GCF_013114835.1, s__Bradyrhizobium archetypum, 95.0, 85.12, 0.222; GCA_023422775.1, s__Bradyrhizobium sp023422775, 95.0, 85.08, 0.249; GCF_013114825.1, s__Bradyrhizobium australiense, 95.0, 84.98, 0.235; GCF_000472965.1, s__Bradyrhizobium murdochi, 95.0, 84.97, 0.231; GCF_018398895.1, s__Bradyrhizobium sp018398895, 95.0, 84.97, 0.23; GCF_020329435.1, s__Bradyrhizobium hereditatis, 95.0, 84.62, 0.212; GCF_005937885.2, s__Bradyrhizobium sp005937885, 95.0, 84.1, 0.157; GCF_900099825.1, s__Bradyrhizobium ottawaense_A, 95.0, 84.08, 0.166; GCF_018130145.1, s__Bradyrhizobium sp018130145, 95.0, 83.92, 0.151; GCF_900103365.1, s__Bradyrhizobium sp900103365, 95.0, 83.84, 0.154; GCF_018131065.1, s__Bradyrhizobium sp018131065, 95.0, 83.81, 0.154; GCF_018131075.1, s__Bradyrhizobium sp018131075, 95.0, 83.79, 0.153; GCF_018130165.1, s__Bradyrhizobium sp018130165, 95.0, 83.65, 0.152; GCA_017305715.1, s__Bradyrhizobium sp017305715, 95.0, 83.58, 0.154; GCF_022844465.1, s__Bradyrhizobium sp022844465, 95.0, 83.21, 0.173	76.39	11	0.99565	Genome not assigned to closest species as it falls outside its pre-defined ANI radius;Genome has more than 15.8% of markers with multiple hits
WM16_S11_MAGScoT_cleanbin_000027	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Nanopelagicales;f__Nanopelagicaceae;g__Nanopelagicus;s__Nanopelagicus sp016462445	GCA_016462445.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Nanopelagicales;f__Nanopelagicaceae;g__Nanopelagicus;s__Nanopelagicus sp016462445	99.15	0.938	GCA_016462445.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Nanopelagicales;f__Nanopelagicaceae;g__Nanopelagicus;s__Nanopelagicus sp016462445	99.15	0.938	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Nanopelagicales;f__Nanopelagicaceae;g__Nanopelagicus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_947486485.1, s__Nanopelagicus sp947486485, 95.0, 95.01, 0.877; GCA_000378865.1, s__Nanopelagicus sp000378865, 95.0, 90.18, 0.522	83.56	11	N/A	N/A
WM16_S11_MAGScoT_cleanbin_000028	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__B-17B0;f__B-17BO;g__UBA4416;s__	N/A	N/A	N/A	N/A	N/A	GCA_903928655.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__B-17B0;f__B-17BO;g__UBA4416;s__UBA4416 sp903928655	87.4	0.246	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__B-17B0;f__B-17BO;g__UBA4416;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	80.73	11	0.98982	N/A
WM16_S11_MAGScoT_cleanbin_000029	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__SM23-39;g__CAITMJ01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__SM23-39;g__CAITMJ01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	80.75	11	0.93994	N/A
WM16_S11_MAGScoT_cleanbin_000030	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	N/A	N/A	N/A	N/A	N/A	GCA_018401645.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium sp018401645	89.05	0.43	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_903911165.1, s__Mycobacterium sp903911165, 95.0, 86.17, 0.177	76.19	11	0.99482	N/A
WM16_S11_MAGScoT_cleanbin_000031	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Fen-1231;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Fen-1231;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	75.13	11	0.90676	N/A
WM16_S11_MAGScoT_cleanbin_000032	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	76.09	11	0.97678	N/A
WM16_S11_MAGScoT_cleanbin_000034	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA1547;g__UBA1547;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA1547;g__UBA1547;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	74.14	11	0.96015	N/A
WM16_S11_MAGScoT_cleanbin_000035	d__Bacteria;p__Spirochaetota;c__Leptospirae;o__Leptospirales;f__Leptospiraceae;g__Leptospira_A;s__	N/A	N/A	N/A	N/A	N/A	GCF_016918735.1	95.0	d__Bacteria;p__Spirochaetota;c__Leptospirae;o__Leptospirales;f__Leptospiraceae;g__Leptospira_A;s__Leptospira_A abararensis	90.66	0.604	d__Bacteria;p__Spirochaetota;c__Leptospirae;o__Leptospirales;f__Leptospiraceae;g__Leptospira_A;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_000332455.1, s__Leptospira_A vanthielii, 95.0, 90.61, 0.588; GCF_000332515.2, s__Leptospira_A wolbachii, 95.0, 89.13, 0.5; GCF_000332495.1, s__Leptospira_A terpstrae, 95.0, 88.28, 0.449; GCF_016919165.1, s__Leptospira_A chreensis, 95.0, 87.6, 0.376; GCF_004769575.1, s__Leptospira_A perdikensis, 95.0, 86.66, 0.315; GCF_004770765.1, s__Leptospira_A noumeaensis, 95.0, 86.21, 0.242; GCF_004368965.1, s__Leptospira_A meyeri, 95.0, 86.04, 0.241; GCF_004770265.1, s__Leptospira_A congkakensis, 95.0, 86.01, 0.268; GCF_004769235.1, s__Leptospira_A kanakyensis, 95.0, 85.97, 0.25; GCF_004770145.1, s__Leptospira_A bourretii, 95.0, 85.96, 0.249; GCF_002812125.1, s__Leptospira_A brenneri, 95.0, 85.9, 0.232; GCF_004770905.1, s__Leptospira_A bandrabouensis, 95.0, 85.89, 0.247; GCF_004770045.1, s__Leptospira_A montravelensis, 95.0, 85.8, 0.232; GCF_004770475.1, s__Leptospira_A mtsangambouensis, 95.0, 85.79, 0.238; GCF_002811945.1, s__Leptospira_A harrisiae, 95.0, 85.74, 0.23; GCF_026151655.1, s__Leptospira_A sp026151655, 95.0, 85.43, 0.209	71.16	11	0.997	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
WM16_S11_MAGScoT_cleanbin_000036	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Palsa-1315;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Palsa-1315;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_030645475.1, s__Palsa-1315 sp030645475, 95.0, 91.05, 0.552; GCA_009885705.1, s__Palsa-1315 sp009885705, 95.0, 90.96, 0.42; GCA_025361385.1, s__Palsa-1315 sp025361385, 95.0, 90.85, 0.337; GCA_030682135.1, s__Palsa-1315 sp030682135, 95.0, 90.6, 0.529; GCA_005116815.1, s__Palsa-1315 sp005116815, 95.0, 90.27, 0.414; GCA_030684575.1, s__Palsa-1315 sp030684575, 95.0, 89.9, 0.47	68.54	11	0.99279	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
WM16_S11_MAGScoT_cleanbin_000037	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__B-17B0;f__B-17BO;g__JADJDM01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__B-17B0;f__B-17BO;g__JADJDM01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	68.34	11	0.98834	N/A
WM16_S11_MAGScoT_cleanbin_000038	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA2100;g__UBA10103;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA2100;g__UBA10103;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	70.55	11	0.9471	N/A
WM16_S11_MAGScoT_cleanbin_000039	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA2100;g__UBA10103;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA2100;g__UBA10103;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	69.69	11	0.98492	N/A
WM16_S11_MAGScoT_cleanbin_000040	d__Bacteria;p__Bacteroidota;c__Kapaibacteriia;o__Kapaibacteriales;f__Kapaibacteriaceae;g__Kapaibacterium;s__	N/A	N/A	N/A	N/A	N/A	GCA_018266735.1	95.0	d__Bacteria;p__Bacteroidota;c__Kapaibacteriia;o__Kapaibacteriales;f__Kapaibacteriaceae;g__Kapaibacterium;s__Kapaibacterium sp018266735	89.48	0.518	d__Bacteria;p__Bacteroidota;c__Kapaibacteriia;o__Kapaibacteriales;f__Kapaibacteriaceae;g__Kapaibacterium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	67.57	11	0.99401	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
WM16_S11_MAGScoT_cleanbin_000041	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_013004105.1, s__Gemmatimonas groenlandica, 95.0, 89.62, 0.422; GCA_947461225.1, s__Gemmatimonas sp947461225, 95.0, 87.54, 0.174	63.08	11	0.9814	N/A
WM16_S11_MAGScoT_cleanbin_000042	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__JACTMZ01;g__JACTMZ01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__JACTMZ01;g__JACTMZ01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	61.85	11	0.94982	N/A
WM16_S11_MAGScoT_cleanbin_000043	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA2100;g__UBA10103;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA2100;g__UBA10103;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	59.19	11	0.97838	N/A
WM16_S11_MAGScoT_cleanbin_000044	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__UBA1924;g__UBA2396;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__UBA1924;g__UBA2396;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	53.09	11	0.93479	N/A
WM16_S11_MAGScoT_cleanbin_000045	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tabrizicola;s__	N/A	N/A	N/A	N/A	N/A	GCA_947504705.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tabrizicola;s__Tabrizicola sp947504705	88.05	0.252	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tabrizicola;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_963205235.1, s__Tabrizicola sp963205235, 95.0, 87.65, 0.281	49.89	11	0.9931	N/A
WM16_S11_MAGScoT_cleanbin_000046	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Nanopelagicales;f__Nanopelagicaceae;g__Planktophila;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Nanopelagicales;f__Nanopelagicaceae;g__Planktophila;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_015660815.1, s__Planktophila sp015660815, 95.0, 88.78, 0.342; GCA_030649935.1, s__Planktophila sp030649935, 95.0, 88.42, 0.265; GCA_030681675.1, s__Planktophila sp030681675, 95.0, 88.09, 0.278	47.19	11	0.9892	N/A
WM17_S12_MAGScoT_cleanbin_000001	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__2-12-FULL-35-15;f__2-12-FULL-35-15;g__2-12-FULL-35-15;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__2-12-FULL-35-15;f__2-12-FULL-35-15;g__2-12-FULL-35-15;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	97.04	11	0.96569	N/A
WM17_S12_MAGScoT_cleanbin_000002	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	97.76	11	0.9763	N/A
WM17_S12_MAGScoT_cleanbin_000003	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UKL13-3;g__UKL13-3;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UKL13-3;g__UKL13-3;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	96.54	11	0.97036	N/A
WM17_S12_MAGScoT_cleanbin_000004	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	97.02	11	0.98425	N/A
WM17_S12_MAGScoT_cleanbin_000005	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__B-17B0;f__B-17BO;g__UBA4416;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__B-17B0;f__B-17BO;g__UBA4416;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	97.2	11	0.97421	N/A
